ISBN,Title,Author,Publisher,Genre,PublicationYear,AvailabilityStatus
1273754815743,Shadows of Eternity,Elena Winters,Silver Quill Press,Fantasy,1974,No
3262456709743,The Crystal Code,Marcus Thorn,Midnight Lantern Publishing,Fiction,1980,No
4887721181798,Whispers in the Wind,Isabella Drake,Starlight House,Biography,1968,No
4029656002307,Echoes of Tomorrow,Julian Frost,Ironbound Books,Non-Fiction,1967,Yes
5421207680208,Beneath the Iron Sky,Natalie Crowe,Echo Peak Publishing,Fiction,2012,Yes
8049194392752,The Forgotten Kingdom,Damien Hale,Celestial Ink,Mystery,2010,No
7721818335132,Realm of Secrets,Lydia Blackwood,Whispering Pines Press,Fantasy,2024,No
5665528842083,Chronicles of the Void,Connor Vance,Emberlight Publications,History,1997,Yes
6030091410282,The Last Ember,Seraphina Moore,Northern Gate Books,Biography,1966,Yes
9158736461602,Dreams of Glass,Gideon Stroud,Obsidian Scroll,Non-Fiction,1984,No
6796154824223,Path of the Ancients,Aria Tempest,Radiant Leaf Press,Romance,1987,No
672027792524,Voices from the Deep,Victor Stone,Twilight Beacon,Romance,1974,No
3233694870907,Labyrinth of Souls,Mira Langley,Stormwatch Publications,Biography,1972,No
1023832279531,Twilight Covenant,Orion Black,Wandering Word Works,Mystery,2011,No
6851259388489,The Ninth Horizon,Clara Voss,Sapphire Tome House,History,2024,No
8769680377543,Oath of Ashes,Rowan Vale,Phoenix Crest Press,Fantasy,1986,No
5407350920242,Sands of Time,Ivy Nightshade,Golden Atlas Publishing,History,1981,No
5976911093807,Frozen Reverie,Dorian Cross,Moonrise Editions,Science Fiction,2022,No
3621070726942,The Hollow Crown,Evelyn Storm,Crimson Hearth Books,Romance,1996,No
6684668056401,Legacy of the Stars,Tristan Vale,Zephyrbound Press,Fantasy,1963,Yes
