copyID,type,availability,ID
7273936607363,digital media,yes,726774303164
4424673614461,digital media,no,618148457686
5960938875759,digital media,no,678339012588
4919539632467,digital media,no,230128757850
3060591265799,digital media,no,704559190441
3900739888192,digital media,yes,558346949564
5431410664371,digital media,no,726774303164
6318936666915,digital media,no,539922329712
3515125839843,digital media,yes,675200983287
1381739193627,digital media,yes,539922329712
9048164187353,digital media,no,69015153056
6445366238139,digital media,no,983240952797
3275911741860,digital media,yes,558346949564
5097223641105,digital media,no,435700137008
4611198357946,digital media,yes,983240952797
9900017184944,digital media,no,69015153056
9871914519192,digital media,yes,69015153056
4875188703725,digital media,yes,983240952797
3469912752753,digital media,no,558346949564
6169406657089,digital media,yes,83218955767
6533255331965,digital media,no,496599175462
7874396726444,digital media,yes,675200983287
1403973355486,digital media,yes,227710450494
7344036913938,book,yes,8769680377543
7459350968291,book,yes,5421207680208
9929285038371,book,no,4029656002307
3847819619194,book,yes,3621070726942
3444830230807,book,yes,3621070726942
3357246738497,book,yes,5976911093807
5400952768135,book,yes,5665528842083
4511324120997,book,no,3262456709743
7248472035441,book,no,1273754815743
1284692298812,book,yes,5976911093807
3608987412946,book,no,6796154824223
4024533724706,book,yes,5421207680208
7781336571916,book,no,3262456709743
9155093629150,book,no,6684668056401
2673951866112,book,no,3262456709743
7379837747829,book,yes,4029656002307
6365842668358,book,yes,672027792524
2888225053917,book,no,4887721181798
7732913904834,book,yes,4887721181798
5494248298454,book,yes,6851259388489
4843150528664,magazine,no,16596213807127021220
7276772650935,magazine,no,62101756267638911122
4204226166670,magazine,no,11050203816882597162
3564899850777,magazine,no,12663784891363892912
1927984115787,magazine,yes,62101756267638911122
3898554511371,magazine,no,11050203816882597162
4540927027739,magazine,yes,16802116532868856372
9518714888863,magazine,no,90639621556383653871
6241060064686,magazine,no,75212912953541359066
9052826219201,magazine,no,32665537064772465207
7071973674545,magazine,yes,16596213807127021220
4540273855614,magazine,yes,62101756267638911122
8567731554301,magazine,yes,62101756267638911122
8599199030832,magazine,yes,90877976502182879450
3238522667351,magazine,yes,90639621556383653871
1454925444053,magazine,yes,16802116532868856372
2642109721605,magazine,no,24452447094200899317
2562579509150,magazine,yes,91364862083766535851
1668583314490,magazine,no,11050203816882597162
7514795283757,magazine,no,87902198241574797489
