FineID,CopyID,ClientID,DueDate,FineAmount,DatePaid
4066723545,3060591265799,162788563211,2023-05-04,$16.00,2023-05-20
1319303452,4424673614461,908358000255,2023-05-12,$1.00,2023-05-13
9168790045,609741931457,363714941482,2023-07-06,$2.00,2023-07-14
1708487944,4875188703725,670019806533,2023-07-24,$4.00,2023-07-28
7979615417,4511324120997,878829203004,2023-11-16,$0.50,2023-11-18
2850186388,3444830230807,136178644349,2024-01-03,$1.75,2024-01-10
0898699646,9929285038371,080444014843,2024-02-20,$1.00,2024-02-21
1566446905,4024533724706,540877402763,2024-02-25,$1.00,2024-03-01
3397891480,6365842668358,065543315395,2024-04-12,$3.00,2024-04-15
5117610878,5494248298454,345462137506,2024-05-16,$2.00,2024-05-18
3261362313,7248472035441,540877402763,2024-05-18,$2.25,2024-05-27
5303471676,9155093629150,331180881681,2024-06-27,$1.00,2024-06-28
6383114766,6365842668358,152491468918,2024-10-23,$2.00,2024-10-25
8002082145,5494248298454,392888992260,2024-12-04,$6.00,2024-12-10
2492955049,7276772650935,779102014641,2025-02-17,$1.00,2025-02-18
4373500108,1927984115787,908358000255,2025-03-11,$2.00,2025-03-13
7392330716,4204226166670,151534339699,2025-03-25,$5.00,2025-03-30
9265274797,8567731554301,331180881681,2025-03-23,$6.00,2025-03-29
4015328847,2562579509150,108706256089,2025-04-15,$0.25,2025-04-16
7113570504,1668583314490,240123516435,2025-04-20,$5.00,NULL
