ID,Title,IssueNumber,PublicationDate,AvailabilityStatus
91364862083766535851,Car and Driver,831,2015-03-16,Available
24452447094200899317,Motor Trend,918,2006-08-18,Available
90639621556383653871,Top Gear Magazine,336,2013-04-01,Available
11050203816882597162,Autocar,822,1998-03-16,Available
16596213807127021220,Road & Track,796,2007-09-16,Available
14131106827042409105,TIME,72,2024-02-01,Available
75212912953541359066,The Economist,142,2024-03-01,Available
90877976502182879450,Newsweek,948,2024-04-01,Available
16802116532868856372,Forbes,579,2024-05-01,Available
31433342416844503857,The New Yorker,280,2024-06-01,Available
62101756267638911122,Scientific American,400,2024-03-05,Available
14826729814846290022,Nature,673,2024-02-02,Available
32665537064772465207,New Scientist,751,2020-01-11,Available
12663784891363892912,National Geographic,940,2014-05-14,Available
55546063833112115344,Popular Science,640,2012-11-01,Available
87902198241574797489,Vogue,881,2021-02-05,Available
53382725813343369496,Elle,316,2000-12-01,Available
77576093034374493339,Harpers Bazaar,301,2023-07-12,Available
66511524920328405331,GQ,993,2024-11-01,Available
77560604328349747458,W Magazine,961,2024-02-17,Available
