ID,Title,Creator,Format,ReleaseYear,Genre,AvailabilityStatus
726774303164,Paranoia,Robert Luketic,DVD,2013,Thrillers,no
894366304584,Jaws,Steven Spielberg,Blu-ray,1975,Action,no
230128757850,Saved by the Bell,Cairistiona Abbie,DVD,1994,Children,no
85913602825,Predictions of Fire (Prerokbe Ognja),Paulina Haward,DVD,1992,Documentary,no
707642491420,King of Boys,Kemi Adetiba,DVD,2018,Drama,yes
704559190441,The World's Most Amazing Vacation Rentals,Engelbert Shenley,DVD,2021,Reality,no
435700137008,Tobot Galaxy Detectives,Nikoletta Connealy,DVD,2019,Children,no
227710450494,La casa de papel,Paule Rodell,Blu-ray,2021,Crime ,yes
837186859500,A Cinderella Story,Mark Rosman,Blu-ray,2004,Children,no
669280427988,Blade Runner: The Final Cut,Ridley Scott,DVD,1982,Action,yes
558346949564,Green Lantern,Martin Campbell,Blu-ray,2011,Sci-Fi,yes
618148457686,Gridlock'd,Merwyn Harriagn,DVD,1986,Crime,yes
83218955767,Level 16,Danishka Esterhazy,DVD,2018,Sci-Fi,yes
69015153056,Marshall,Reginald Hudlin,Blu-ray,2017,Drama,yes
678339012588,The Howling,Somerset Goly,DVD,1992,Horror,no
982095751620,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rof̩,Blu-ray,2021,Documentary,yes
395776501981,Hit & Run,Moe Hoyes,Blu-ray,2021,Mystery,no
983240952797,The Englishman,Carina Ciobutaru,Blu-ray,2007,Romance,no
324127971685,Rancho Notorious,Mella Janauschek,Blu-ray,2009,Western,no
539922329712,Beowulf,Robert Zemeckis,DVD,2007,Fantasy,no
675200983287,Ferris Bueller's Day Off,John Hughes,Blu-ray,1986,Comedy,no
935951715613,Inception,Christopher Nolan,DVD,2010,Thrillers,yes
496599175462,School of Rock,Richard Linklater,DVD,2003,Comedy,yes
