ReportID,DateOfGeneration,Type,StaffID
081326531512,5/12/2016,revenue,752121016565
990121808357,3/6/2021,revenue,258857912095
290084112145,9/24/2019,revenue,482225930755
941415280066,3/17/2001,monthly,050652498632
521230953672,7/24/2006,popularity,439833950222
490046678346,4/10/2006,borrowing,304351629479
439098678096,8/23/2019,borrowing,063911658753
495734765531,10/1/2000,borrowing,347903932193
126676489647,11/9/2004,borrowing,500679238339
413430971841,10/21/2010,monthly,152343834195
959108812831,6/11/2007,fee,970016550340
793419841499,6/24/2006,monthly,145574028785
697404015667,12/12/2012,overdue,109632030976
499268420031,10/23/2015,borrowing,006872676068
