TransactionID,CheckoutDate,DueDate,ReturnDate,CopyID,ClientID,StaffID
1,2024-07-10,2024-07-19,2024-07-23,5960938875759,777315144757,277043089914
2,2023-12-16,2023-12-26,2024-01-05,4424673614461,670019806533,277043089914
3,2023-01-31,2023-02-13,2023-02-20,3469912752753,862536141388,277043089914
4,2024-12-22,2025-01-01,2025-01-09,3900739888192,64904820126,384994027174
5,2023-10-10,2023-10-19,NULL,5431410664371,600450083709,384994027174
6,2024-05-21,2024-06-01,2024-06-06,5097223641105,368798545706,384994027174
7,2024-11-21,2024-12-02,2024-12-09,6533255331965,345462137506,192707852656
8,2024-04-01,2024-04-11,2024-04-11,1454925444053,534771852898,847157462649
9,2024-02-09,2024-02-18,2024-02-23,2888225053917,588022882666,655919975680
10,2024-04-20,2024-04-30,NULL,9929285038371,386979565044,018984280546
11,2023-10-14,2023-10-27,2023-10-30,9929285038371,609741931457,018984280546
12,2024-12-10,2024-12-19,2024-12-22,5431410664371,963447298338,841606709552
13,2024-07-08,2024-07-16,2024-07-19,3238522667351,152491468918,97002761490
14,2023-12-07,2023-12-20,2023-12-26,3469912752753,065543315395,97002761490
15,2023-02-25,2023-03-04,2023-03-10,4424673614461,151534339699,120613099926
16,2024-10-08,2024-10-21,2024-10-27,7071973674545,363714941482,120613099926
17,2023-01-20,2023-01-31,2023-02-06,3515125839843,100708262468,226717495167
18,2023-11-05,2023-11-13,2023-11-19,5431410664371,799911506282,006872676068
19,2023-08-19,2023-08-26,2023-08-31,6169406657089,331180881681,145574028785
20,2024-12-17,2024-12-28,2024-12-29,2642109721605,487380045830,437614888954
